model,strategy,n_executed,final_capital,roi,max_drawdown
hist_gbm,general_ev,1470,2313.200551184107,-0.7686799448815893,7686.799448815893
hist_gbm,home_run,0,10000.0,0.0,0.0
hist_gbm,top1pct_phat,385,10404.76553432667,0.04047655343266706,1.4483684210499632
hist_gbm,top1pct_edge,276,10195.13190302496,0.01951319030249597,76.00000000000364
hist_gbm,top5pct_edge,601,12731.997345954447,0.2731997345954447,93.00000000001091
hist_gbm,phat_gt_0.9,0,10000.0,0.0,0.0
hist_gbm,phat_gt_0.95,0,10000.0,0.0,0.0
hist_gbm,phat_gt_0.99,0,10000.0,0.0,0.0
hist_gbm,general_ev_cheap,620,50.34822131616278,-0.9949651778683838,9949.651778683838
hist_gbm,general_ev_late,472,1415.110169746489,-0.858488983025351,8584.88983025351
lightgbm,general_ev,1403,2543.526039152098,-0.7456473960847902,7527.874898454202
lightgbm,home_run,0,10000.0,0.0,0.0
lightgbm,top1pct_phat,139,10435.995409147254,0.043599540914725364,5.4569682106375694e-12
lightgbm,top1pct_edge,176,8297.360999999994,-0.17026390000000066,1702.6390000000065
lightgbm,top5pct_edge,593,8507.838643091622,-0.14921613569083783,1492.1613569083784
lightgbm,phat_gt_0.9,0,10000.0,0.0,0.0
lightgbm,phat_gt_0.95,0,10000.0,0.0,0.0
lightgbm,phat_gt_0.99,0,10000.0,0.0,0.0
lightgbm,general_ev_cheap,740,1230.1586701618612,-0.8769841329838138,8769.841329838138
lightgbm,general_ev_late,472,1415.110169746489,-0.858488983025351,8584.88983025351
random_forest,general_ev,1723,2415.7337185642355,-0.7584266281435764,7883.786139971367
random_forest,home_run,1,9997.51,-0.0002489999999999782,2.4899999999997817
random_forest,top1pct_phat,728,10435.783627004836,0.043578362700483556,3.6939999999958673
random_forest,top1pct_edge,272,9635.592000000011,-0.03644079999999885,364.40799999998853
random_forest,top5pct_edge,488,8406.829951999995,-0.15931700480000055,1593.1700480000054
random_forest,phat_gt_0.9,1573,11400.696665117011,0.14006966651170114,9.627999999996973
random_forest,phat_gt_0.95,1258,11057.486055598387,0.10574860555983868,9.32521052631273
random_forest,phat_gt_0.99,500,10217.252918073234,0.02172529180732345,4.284842105264033
random_forest,general_ev_cheap,819,1231.3435793741874,-0.8768656420625812,8768.656420625812
random_forest,general_ev_late,522,1628.1285267866779,-0.8371871473213323,8371.871473213323
mlp_sklearn,general_ev,2665,5135.481701279751,-0.4864518298720249,4864.518298720249
mlp_sklearn,home_run,14,9943.592,-0.005640799999999945,56.40799999999945
mlp_sklearn,top1pct_phat,689,10610.741151875638,0.0610741151875638,22.70393920706738
mlp_sklearn,top1pct_edge,582,8544.064599999998,-0.14559354000000022,1455.9354000000021
mlp_sklearn,top5pct_edge,725,7663.800836807508,-0.2336199163192492,2336.199163192492
mlp_sklearn,phat_gt_0.9,2577,11957.094704751105,0.19570947047511053,73.00000000000728
mlp_sklearn,phat_gt_0.95,1920,11773.516462011343,0.17735164620113428,50.00000000000182
mlp_sklearn,phat_gt_0.99,1223,11185.384543536584,0.11853845435365838,15.29881420007041
mlp_sklearn,general_ev_cheap,1120,2361.3068056910624,-0.7638693194308938,7638.693194308938
mlp_sklearn,general_ev_late,573,9256.102157894737,-0.07438978421052635,743.8978421052634
xgboost,general_ev,2438,4221.334808075252,-0.5778665191924748,5800.777582936925
xgboost,home_run,10,9822.122,-0.017787800000000062,177.8780000000006
xgboost,top1pct_phat,1096,10130.651105263121,0.013065110526312129,9.358578947367278
xgboost,top1pct_edge,287,7147.877400000013,-0.2852122599999987,2852.122599999987
xgboost,top5pct_edge,662,4762.967000000006,-0.5237032999999994,5237.032999999994
xgboost,phat_gt_0.9,2123,11295.80766446286,0.129580766446286,19.590526315789248
xgboost,phat_gt_0.95,1990,11139.900519823259,0.1139900519823259,19.590526315789248
xgboost,phat_gt_0.99,1623,10426.518950992513,0.042651895099251304,16.47110526315737
xgboost,general_ev_cheap,956,3147.183877530937,-0.6852816122469063,6852.816122469063
xgboost,general_ev_late,528,7662.47397894737,-0.23375260210526302,2340.9054947368404
