split,date,n_trades
test,2026-02-28 00:00:00+00:00,4752
test,2026-03-01 00:00:00+00:00,16631
test,2026-03-02 00:00:00+00:00,11729
test,2026-03-03 00:00:00+00:00,8966
test,2026-03-04 00:00:00+00:00,8454
test,2026-03-05 00:00:00+00:00,4094
test,2026-03-06 00:00:00+00:00,1654
test,2026-03-07 00:00:00+00:00,4542
test,2026-03-08 00:00:00+00:00,2325
test,2026-03-09 00:00:00+00:00,5717
test,2026-03-10 00:00:00+00:00,184
test,2026-03-11 00:00:00+00:00,7515
test,2026-03-12 00:00:00+00:00,8835
test,2026-03-13 00:00:00+00:00,7781
test,2026-03-14 00:00:00+00:00,5229
test,2026-03-15 00:00:00+00:00,4755
test,2026-03-16 00:00:00+00:00,6383
test,2026-03-17 00:00:00+00:00,3414
test,2026-03-18 00:00:00+00:00,3902
test,2026-03-19 00:00:00+00:00,4610
test,2026-03-20 00:00:00+00:00,5133
test,2026-03-21 00:00:00+00:00,6411
test,2026-03-22 00:00:00+00:00,7703
test,2026-03-23 00:00:00+00:00,24504
test,2026-03-24 00:00:00+00:00,14768
test,2026-03-25 00:00:00+00:00,17541
test,2026-03-26 00:00:00+00:00,12342
test,2026-03-27 00:00:00+00:00,15387
test,2026-03-28 00:00:00+00:00,8477
test,2026-03-29 00:00:00+00:00,9487
test,2026-03-30 00:00:00+00:00,8845
test,2026-03-31 00:00:00+00:00,5107
train,2025-12-22 00:00:00+00:00,38
train,2025-12-23 00:00:00+00:00,51
train,2025-12-24 00:00:00+00:00,59
train,2025-12-25 00:00:00+00:00,61
train,2025-12-26 00:00:00+00:00,9
train,2025-12-27 00:00:00+00:00,24
train,2025-12-28 00:00:00+00:00,15
train,2025-12-29 00:00:00+00:00,72
train,2025-12-30 00:00:00+00:00,47
train,2025-12-31 00:00:00+00:00,16
train,2026-01-01 00:00:00+00:00,34
train,2026-01-02 00:00:00+00:00,309
train,2026-01-03 00:00:00+00:00,911
train,2026-01-04 00:00:00+00:00,2452
train,2026-01-05 00:00:00+00:00,3170
train,2026-01-06 00:00:00+00:00,1270
train,2026-01-07 00:00:00+00:00,2479
train,2026-01-08 00:00:00+00:00,2155
train,2026-01-09 00:00:00+00:00,5932
train,2026-01-10 00:00:00+00:00,10696
train,2026-01-11 00:00:00+00:00,20176
train,2026-01-12 00:00:00+00:00,22047
train,2026-01-13 00:00:00+00:00,30902
train,2026-01-14 00:00:00+00:00,41029
train,2026-01-15 00:00:00+00:00,41720
train,2026-01-16 00:00:00+00:00,20254
train,2026-01-17 00:00:00+00:00,14245
train,2026-01-18 00:00:00+00:00,9303
train,2026-01-19 00:00:00+00:00,7184
train,2026-01-20 00:00:00+00:00,7310
train,2026-01-21 00:00:00+00:00,11938
train,2026-01-22 00:00:00+00:00,12123
train,2026-01-23 00:00:00+00:00,24950
train,2026-01-24 00:00:00+00:00,22832
train,2026-01-25 00:00:00+00:00,16427
train,2026-01-26 00:00:00+00:00,13100
train,2026-01-27 00:00:00+00:00,12413
train,2026-01-28 00:00:00+00:00,13992
train,2026-01-29 00:00:00+00:00,20027
train,2026-01-30 00:00:00+00:00,22754
train,2026-01-31 00:00:00+00:00,27157
train,2026-02-01 00:00:00+00:00,23934
train,2026-02-02 00:00:00+00:00,17172
train,2026-02-03 00:00:00+00:00,21312
train,2026-02-04 00:00:00+00:00,20921
train,2026-02-05 00:00:00+00:00,11429
train,2026-02-06 00:00:00+00:00,15943
train,2026-02-07 00:00:00+00:00,10596
train,2026-02-08 00:00:00+00:00,7948
train,2026-02-09 00:00:00+00:00,22382
train,2026-02-10 00:00:00+00:00,15618
train,2026-02-11 00:00:00+00:00,11101
train,2026-02-12 00:00:00+00:00,12520
train,2026-02-13 00:00:00+00:00,12011
train,2026-02-14 00:00:00+00:00,11214
train,2026-02-15 00:00:00+00:00,10243
train,2026-02-16 00:00:00+00:00,14549
train,2026-02-17 00:00:00+00:00,18693
train,2026-02-18 00:00:00+00:00,48967
train,2026-02-19 00:00:00+00:00,37300
train,2026-02-20 00:00:00+00:00,28218
train,2026-02-21 00:00:00+00:00,25369
train,2026-02-22 00:00:00+00:00,30474
train,2026-02-23 00:00:00+00:00,28746
train,2026-02-24 00:00:00+00:00,28637
train,2026-02-25 00:00:00+00:00,25320
train,2026-02-26 00:00:00+00:00,37830
train,2026-02-27 00:00:00+00:00,92929
train,2026-02-28 00:00:00+00:00,30944
