,skew
wallet_cex_usdc_cumulative_at_t,420.3
signed_oi_autocorr_1h,227.022
trade_size_to_recent_volume_ratio,41.876
wallet_n_cex_deposits_at_t,24.114
wallet_log_cex_usdc_cum,14.001
avg_trade_size_recent_1h,11.029
trade_size_vs_recent_avg,10.525
realized_vol_1h,3.103
risk_reward_ratio_pre,3.029
jump_component_1h,3.001
wallet_polygon_age_at_t_days,2.921
days_from_first_usdc_to_t,2.916
is_long_shot_buy,2.784
taker_traded_in_event_id_before,-2.76
yes_buy_pressure_5min,2.586
log_size_vs_taker_avg,2.102
wallet_n_inbound_at_t,2.031
kyle_lambda_market_static,-1.66
wallet_polygon_nonce_at_t,1.629
yes_volume_share_recent_1h,1.348
taker_first_trade_in_market,1.334
log_taker_burst_5min,1.205
yes_volume_share_recent_5min,1.123
token_side_skew_5min,1.123
contrarian_strength,1.105
recent_price_low_1h,1.076
log_same_block_trade_count,1.057
recent_price_high_1h,-0.868
log_n_trades_to_date,-0.799
log_recent_volume_24h,-0.777
log_taker_prior_trades_in_market,0.773
log_time_since_last_trade,0.748
taker_directional_purity_in_market,0.743
log_trade_count_24h,-0.729
recent_price_mean_24h,0.702
log_recent_volume_1h,-0.683
order_flow_imbalance_1h,0.67
recent_price_range_1h,-0.592
log_recent_volume_5min,-0.586
market_buy_share_running,-0.576
is_within_5min_of_deadline,0.56
is_within_1h_of_deadline,0.554
side_buy,0.51
market_price_vol_last_5min,0.504
order_flow_imbalance_5min,0.494
log_taker_prior_trades_total,0.475
consensus_strength,-0.475
distance_from_boundary,0.475
log_taker_unique_markets_traded,0.41
is_within_24h_of_deadline,0.405
log_size,0.391
hour_of_day_sin,0.369
market_price_vol_last_24h,-0.341
recent_price_mean_1h,0.271
order_flow_imbalance_24h,0.21
pct_time_elapsed,-0.202
day_of_week_cos,0.188
log_taker_cumvol_in_market,0.185
wallet_log_polygon_nonce_at_t,-0.182
log_trade_count_1h,-0.175
market_price_vol_last_1h,-0.166
taker_yes_share_global,0.154
pre_trade_price_change_24h,-0.15
log_maker_prior_trades_in_market,-0.144
log_trade_count_5min,0.109
log_time_to_deadline_hours,-0.098
pre_trade_price_change_1h,-0.096
log_taker_prior_volume_total_usd,-0.09
pre_trade_price,-0.056
log_taker_first_minutes_ago_in_market,0.048
outcome_yes,0.047
taker_position_size_before_trade,-0.037
pre_trade_price_change_5min,-0.035
recent_price_mean_5min,0.031
day_of_week_sin,0.018
contrarian_score,0.016
log_payoff_if_correct,-0.01
wallet_log_n_inbound_at_t,-0.004
implied_variance,-0.001
